epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0602,2.42261,14.3225,1.9431,0,0,0,0,2.00956,6.676,1.39389,0,0,0
2,24.6608,2.99971,19.582,1.45542,0,0,0,0,1.92233,6.60348,1.37018,1.604e-05,1.604e-05,1.604e-05
3,36.2862,3.60725,13.2773,2.3462,0,0,0,0,1.8055,6.50157,1.33872,2.416e-05,2.416e-05,2.416e-05
4,46.6549,3.75757,10.5525,1.83479,0,0,0,0,1.71952,6.51948,1.31378,2.436e-05,2.436e-05,2.436e-05
5,56.7059,3.06592,9.09209,1.89115,0,0,0,0,1.61735,6.53296,1.28432,1.664e-05,1.664e-05,1.664e-05
